emg,grf,knee,ankle
4.007450543,39.91379983,4.001428,16.158867
4.085253496,40.37190945,4.037154,16.217102
4.102609539,40.83760503,4.074173,16.275599
4.108594381,41.31126567,4.11251,16.334356
4.121162551,41.79329685,4.152185,16.39337
4.117571645,42.28410497,4.193223,16.452631
4.108594381,42.78408939,4.235647,16.512136
4.148692826,43.2935884,4.279482,16.57188
4.27317755,43.81290875,4.324752,16.631855
4.395866822,44.34235692,4.371479,16.692051
4.40125318,44.88223795,4.419688,16.752462
4.403647117,45.43285013,4.469404,16.813084
4.404245601,45.99448978,4.520651,16.873903
4.447336467,46.56745318,4.573454,16.934912
4.491624302,47.15202802,4.627836,16.996103
4.491624302,47.74847948,4.683823,17.057467
4.489828849,48.35706915,4.741438,17.118992
4.487434912,48.97805781,4.800707,17.180666
4.490427333,49.61166343,4.861653,17.242481
4.488631881,50.25803915,4.924301,17.304422
4.486836428,50.91733267,4.988675,17.366478
4.488033396,51.58968848,5.054799,17.428633
4.488631881,52.27518884,5.122696,17.490875
4.489230365,52.97385995,5.192392,17.55319
4.485040975,53.68572601,5.263909,17.615566
4.483844007,54.41080498,5.33727,17.677984
4.474866743,55.14905814,5.412498,17.740429
4.466487963,55.90041657,5.489617,17.802883
4.455116763,56.66481109,5.568649,17.86533
4.455116763,57.44214466,5.649614,17.927752
4.453919794,58.23218489,5.732536,17.990128
4.455715247,59.03465835,5.817437,18.052441
4.459904637,59.84929162,5.904335,18.11467
4.464094026,60.67581939,5.993253,18.176788
4.463495542,61.51399831,6.08421,18.238783
4.451525857,62.36358872,6.17723,18.300629
4.443147078,63.22434974,6.272325,18.362293
4.447934952,64.0959691,6.369516,18.423759
4.445541015,64.97802301,6.468823,18.484997
4.445541015,65.87007804,6.570263,18.545984
4.445541015,66.77170172,6.673852,18.606689
4.446139499,67.68248144,6.779608,18.667084
4.434169814,68.60202306,6.887546,18.727139
4.431177393,69.52993311,6.997682,18.786823
4.431177393,70.4658091,7.110031,18.846104
4.431775877,71.40916335,7.224607,18.904949
4.437162235,72.35946134,7.341425,18.96332
4.450927373,73.3161681,7.460499,19.021187
4.466487963,74.27874864,7.581841,19.078508
4.474268259,75.24666811,7.705461,19.135248
4.486237944,76.21939164,7.831375,19.191366
4.523343967,77.19638439,7.959592,19.24682
4.608927215,78.17710345,8.090124,19.301571
4.663389282,79.16098351,8.22298,19.355568
4.663987766,80.14745534,8.358174,19.408773
4.726828613,81.13594954,8.495712,19.461142
4.887820876,82.12588296,8.635604,19.512617
5.129010029,83.11665037,8.777861,19.563156
5.313941663,84.10764454,8.922491,19.612709
5.345661328,85.09825646,9.069503,19.661222
5.337282548,86.08783967,9.218904,19.708641
5.345661328,87.07571182,9.370704,19.754911
5.382168867,88.06118916,9.524909,19.799978
5.416880954,89.04358752,9.681528,19.843781
5.408502174,90.02221887,9.840569,19.886261
5.395934005,90.99639295,10.002039,19.927361
5.400721879,91.96541949,10.165946,19.967014
5.416282469,92.928599,10.332298,20.005161
5.42346428,93.88518402,10.501103,20.041733
5.482714221,94.83441153,10.672367,20.076668
5.48391119,95.77551847,10.846099,20.109896
5.510244497,96.70772975,11.022306,20.141348
5.50785056,97.63023544,11.200993,20.170954
5.512638434,98.54221941,11.382182,20.198645
5.516229339,99.44286562,11.56586,20.224342
5.521615698,100.3313659,11.752058,20.247976
5.521017213,101.2069251,11.940764,20.269472
5.516229339,102.0687492,12.132008,20.288752
5.514433887,102.9160417,12.325776,20.30574
5.515032371,103.7479463,12.522102,20.320358
5.49947178,104.5635484,12.720973,20.332527
5.498873296,105.3619305,12.922421,20.342169
5.398327942,106.1421875,13.126436,20.349201
5.263070501,106.9035374,13.333049,20.35354
5.222972056,107.6452702,13.54225,20.355112
